recordStatus,lastDateModified,lastTimeModified,lastUserToModify,legDepartureDate,airlineCode,identifier,sequence,flightOriginDay,numericFlightDate,numGMTDate,STDudt,STAudt,tailNumber,numLastDateModified,flightStatus,origin,STDLocal,dispatchDesk,STDGMTVariance,destination,STALocal,STAGMTVariance,OAGEquipmentType,ACConfiguration,serviceType,originGate,ETDlocal,ETDudt,TAXIutc,OUTudt,OFFudt,destinationGate,ETAlocal,ETAudt,ONudt,INudt,previousTailNumber,ETE,DCNutc,ETOutc,EONutc,EDTCutc,flightType,newDepartureCity,newArrivalCity,SchedOAGEquipType,OAGEquipSubType,csvFSDailyID,tailNumBeforeCancel,CTAUTC,cancelled,replaced,ATCStatus,scheduledFlightType,aircraftRouting,mealService,hub,landingRestriction,headStartFlight,actualDeparture,specialFlight,actualArrival,scheduledTaxiOut,scheduledTaxiIn,STOSetByUser,STISetByUser,CTFlightNumber
,03JUL18,0545,POST,02JUL18,JBU,1635 ,10,02,20180702,20180703,0032,0155,630   ,20180703,SC03,SFO ,1732,07,-0700,LGB ,1855,-0700,320 ,,,,1810,0110,,0115,0134,,1940,0240,0233,0237,597 ,,,,,,0,,,320 ,,4873471,,,,0,0,0,> 180 ,,JFK,3,0,2018-07-03 01:15:00.000,0,2018-07-03 02:37:00.000,15,7,0,0,1635
,03JUL18,0444,POST,02JUL18,JBU,1790 ,10,02,20180702,20180703,0000,0133,274   ,20180703,,DCA ,2000,14,-0400,BOS ,2133,-0400,E90 ,,,,2020,0020,,0017,0028,C31 ,2143,0143,0136,0147,,,,,,,0,,,E90 ,,4874040,,,,0,0,0,>1752 ,,JFK,3,0,2018-07-03 00:17:00.000,0,2018-07-03 01:47:00.000,15,7,0,0,1790
,03JUL18,0545,POST,02JUL18,JBU,1886 ,10,02,20180702,20180703,0021,0152,228   ,20180703,SC05,PIT ,2021,16,-0400,BOS ,2152,-0400,E90 ,,,D79 ,2048,0048,,0053,0110,C26 ,2230,0230,0223,0230,309 ,,,,,,0,,,E90 ,,4874354,,,,0,0,0,>1600 ,,JFK,3,0,2018-07-03 00:53:00.000,0,2018-07-03 02:30:00.000,19,7,0,0,1886
,03JUL18,0043,POST,02JUL18,JBU,1973 ,10,02,20180702,20180702,1839,2133,584   ,20180703,SC05,EWR ,1439,01,-0400,TPA ,1733,-0400,320 ,,,,1539,1939,,1951,2008,,1826,2226,2219,2224,652 ,,,,2227,,0,,,320 ,,4874598,,,,0,0,0,>1534 ,,JFK,2,0,2018-07-02 19:51:00.000,0,2018-07-02 22:24:00.000,25,7,0,0,1973
,03JUL18,0143,POST,02JUL18,JBU,1979 ,10,02,20180702,20180702,2025,2307,281   ,20180703,SC05,DCA ,1625,17,-0400,FLL ,1907,-0400,E90 ,,,,1631,2031,,2053,2111,,1800,2200,2153,2154,355 ,,,,2251,,0,,,E90 ,,4874609,,,,0,0,0,>1472 ,,JFK,3,0,2018-07-02 20:53:00.000,0,2018-07-02 21:54:00.000,15,7,0,0,1979
,03JUL18,0344,POST,02JUL18,JBU,2135 ,10,02,20180702,20180702,2136,2308,623   ,20180703,SC14,SFO ,1436,07,-0700,LGB ,1608,-0700,320 ,,,,1535,2235,,2317,2333,,1743,0043,0036,0038,633 ,,,,0039,,0,,,320 ,,4875070,,,,0,0,0,>1006 ,,JFK,3,0,2018-07-02 23:17:00.000,0,2018-07-03 00:38:00.000,15,7,0,0,2135
,03JUL18,0746,POST,02JUL18,JBU,2138 ,10,02,20180702,20180703,0217,0315,329   ,20180703,,SDQ ,2217,04,-0400,SJU ,2315,-0400,E90 ,,,,2255,0255,,0303,0317,C10 ,0004,0404,0357,0405,,,,,,,0,,,E90 ,,4875092,,,,0,0,0,>1637 ,,JFK,3,0,2018-07-03 03:03:00.000,0,2018-07-03 04:05:00.000,15,7,0,0,2138
,03JUL18,0746,POST,02JUL18,JBU,2275 ,10,02,20180702,20180703,0218,0606,584   ,20180703,SC05,BDL ,2218,01,-0400,SJU ,0206,-0400,320 ,,,5   ,2235,0235,,0247,0259,,0232,0632,0625,0629,652 ,,,,,,0,,,320 ,,4875242,,,,0,0,0,>2276 ,,JFK,3,0,2018-07-03 02:47:00.000,0,2018-07-03 06:29:00.000,15,7,0,0,2275
,02JUL18,2141,POST,02JUL18,JBU,2638 ,10,02,20180702,20180702,1648,2037,746   ,20180702,SC05,BQN ,1248,01,-0400,JFK ,1637,-0400,320 ,,,,1306,1706,,1705,1714,,1630,2030,2023,2026,524 ,,,,2028,,0,,,320 ,,4875655,,,,0,0,0,>1205 ,,JFK,3,0,2018-07-02 17:05:00.000,0,2018-07-02 20:26:00.000,10,7,0,0,2638
,03JUL18,0946,POST,02JUL18,JBU,2850 ,10,02,20180702,20180703,0438,0900,562   ,20180703,SC14,UIO ,2338,13,-0500,FLL ,0500,-0400,320 ,,,,0023,0523,,0513,0533,,0520,0920,0913,0920,656 ,,,,,,0,,,320 ,,4875926,,,,0,0,0,> 517 ,,JFK,3,0,2018-07-03 05:13:00.000,0,2018-07-03 09:20:00.000,20,7,0,0,2850
,03JUL18,0545,POST,02JUL18,JBU,2889 ,10,02,20180702,20180703,0100,0458,627   ,20180703,SC05,EWR ,2100,12,-0400,SJU ,0058,-0400,320 ,,,,2124,0124,,0122,0146,,0118,0518,0511,0516,523 ,,,,,,0,,,320 ,,4875948,,,,0,0,0,>2890 ,,JFK,3,0,2018-07-03 01:22:00.000,0,2018-07-03 05:16:00.000,25,7,0,0,2889
