recordStatus,lastDateModified,lastTimeModified,lastUserToModify,legDepartureDate,airlineCode,identifier,sequence,flightOriginDay,numericFlightDate,numGMTDate,STDudt,STAudt,tailNumber,numLastDateModified,flightStatus,origin,STDLocal,dispatchDesk,STDGMTVariance,destination,STALocal,STAGMTVariance,OAGEquipmentType,ACConfiguration,serviceType,originGate,ETDlocal,ETDudt,TAXIutc,OUTudt,OFFudt,destinationGate,ETAlocal,ETAudt,ONudt,INudt,previousTailNumber,ETE,DCNutc,ETOutc,EONutc,EDTCutc,flightType,newDepartureCity,newArrivalCity,SchedOAGEquipType,OAGEquipSubType,csvFSDailyID,tailNumBeforeCancel,CTAUTC,cancelled,replaced,ATCStatus,scheduledFlightType,aircraftRouting,mealService,hub,landingRestriction,headStartFlight,actualDeparture,specialFlight,actualArrival,scheduledTaxiOut,scheduledTaxiIn,STOSetByUser,STISetByUser,CTFlightNumber
,20MAY19,1147,PLNK,21MAY19,JBU, 222 ,10,21,20190521,20190521,1719,2031,198   ,20190520,AU01,PBI ,1319,DM,-0400,BOS ,1631,-0400,E90 ,,,,1319,1719,,,,C29 ,1631,2031,,,281 ,,,,,,0,,,E90 ,,5278212,,,,0,0,0,> 797 ,,JFK,3,0,2019-05-21 17:19:00.000,0,2019-05-21 20:31:00.000,14,7,0,0,0222
,19MAY19,2033,TP57,21MAY19,JBU, 224 ,10,21,20190521,20190521,1506,2045,984   ,20190519,SC01,LAX ,0806,DM,-0700,JFK ,1645,-0400,32S ,,,59  ,0806,1506,,,,,1645,2045,,,993 ,,,,,,0,,,32S ,,5278223,,,,0,0,0,>1623 ,,JFK,3,1,2019-05-21 15:06:00.000,3,2019-05-21 20:45:00.000,15,7,0,0,0224
,19MAY19,1208,PLNK,21MAY19,JBU, 225 ,10,21,20190521,20190522,0000,0318,562   ,20190519,SC30,JFK ,2000,DM,-0400,TPA ,2318,-0400,320 ,,,,2000,0000,,,,,2318,0318,,,649 ,,,,,,0,,,320 ,,5278234,,,,0,0,0,> 326 ,,JFK,3,0,2019-05-22 00:00:00.000,0,2019-05-22 03:18:00.000,29,7,0,0,0225
,20MAY19,0716,ICAB,21MAY19,JBU, 227 ,10,21,20190521,20190521,2057,0006,597   ,20190520,SC03,EWR ,1657,DM,-0400,FLL ,2006,-0400,320 ,,,16A ,1657,2057,,,,,2006,0006,,,834 ,,,,,,0,,,320 ,,5278245,,,,0,0,0,> 658 ,,JFK,3,0,2019-05-21 20:57:00.000,0,2019-05-22 00:06:00.000,25,7,0,0,0227
,20MAY19,0442,ai23,21MAY19,JBU, 231 ,10,21,20190521,20190521,1632,1822,665   ,20190520,SC05,SLC ,1032,DM,-0600,LGB ,1122,-0700,320 ,,,G4  ,1032,1632,,,,,1122,1822,,,618 ,,,,,,0,,,320 ,,5278256,,,,0,0,0,>1166 ,,JFK,3,0,2019-05-21 16:32:00.000,0,2019-05-21 18:22:00.000,17,7,0,0,0231
,20MAY19,0442,ai23,21MAY19,JBU, 232 ,10,21,20190521,20190521,1404,1552,665   ,20190520,SC05,LGB ,0704,DM,-0700,SLC ,0952,-0600,320 ,,,11  ,0704,1404,,,,G4  ,0952,1552,,,618 ,,,,,,0,,,320 ,,5278267,,,,0,0,0,> 231 ,,JFK,3,1,2019-05-21 14:04:00.000,3,2019-05-21 15:52:00.000,13,7,0,0,0232
,18MAY19,1209,PLNK,21MAY19,JBU, 233 ,10,21,20190521,20190521,0930,1054,292   ,20190518,,BTV ,0530,DM,-0400,JFK ,0654,-0400,E90 ,,,6   ,0530,0930,,,,,0654,1054,,,,,,,,,0,,,E90 ,,5278279,,,,0,0,0,> 518 ,,JFK,3,1,2019-05-21 09:30:00.000,3,2019-05-21 10:54:00.000,15,7,0,0,0233
,19MAY19,1208,PLNK,21MAY19,JBU, 234 ,10,21,20190521,20190522,0250,0409,206   ,20190519,SC09,JFK ,2250,DM,-0400,BTV ,0009,-0400,E90 ,,,,2250,0250,,,,6   ,0009,0409,,,317 ,,,,,,0,,,E90 ,,5278289,,,,0,0,0,> 233 ,,JFK,3,0,2019-05-22 02:50:00.000,0,2019-05-22 04:09:00.000,29,7,0,0,0234
,18MAY19,1209,PLNK,21MAY19,JBU, 242 ,10,21,20190521,20190521,1820,2145,304   ,20190518,SC05,HAV ,1420,DM,-0400,JFK ,1745,-0400,E90 ,,,,1420,1820,,,,,1745,2145,,,339 ,,,,,,0,,,E90 ,,5278326,,,,0,0,0,> 102 ,,JFK,3,0,2019-05-21 18:20:00.000,0,2019-05-21 21:45:00.000,15,7,0,0,0242
,18MAY19,1209,PLNK,21MAY19,JBU, 243 ,10,21,20190521,20190521,1318,1705,304   ,20190518,SC05,JFK ,0918,DM,-0400,HAV ,1305,-0400,E90 ,,,,0918,1318,,,,,1305,1705,,,339 ,,,,,,0,,,E90 ,,5278336,,,,0,0,0,> 242 ,,JFK,3,0,2019-05-21 13:18:00.000,0,2019-05-21 17:05:00.000,29,7,0,0,0243
,20MAY19,0356,POST,21MAY19,JBU, 252 ,10,21,20190521,20190521,1400,1653,966   ,20190520,SC05,MCO ,1000,DM,-0400,BOS ,1253,-0400,321 ,,,6   ,1000,1400,,,,C17 ,1253,1653,,,949 ,,,,,,0,,,321 ,,5278347,,,,0,0,0,> 165 ,,JFK,3,0,2019-05-21 14:00:00.000,0,2019-05-21 16:53:00.000,16,7,0,0,0252
,19MAY19,0937,sk17,21MAY19,JBU, 254 ,10,21,20190521,20190521,1003,1127,298   ,20190519,SC05,DCA ,0603,DM,-0400,BOS ,0727,-0400,E90 ,,,26  ,0603,1003,,,,C28 ,0727,1127,,,317 ,,,,,,0,,,E90 ,,5278357,,,,0,0,0,> 255 ,,JFK,3,1,2019-05-21 10:03:00.000,3,2019-05-21 11:27:00.000,15,7,0,0,0254
