recordStatus,lastDateModified,lastTimeModified,lastUserToModify,legDepartureDate,airlineCode,identifier,sequence,flightOriginDay,numericFlightDate,numGMTDate,STDudt,STAudt,tailNumber,numLastDateModified,flightStatus,origin,STDLocal,dispatchDesk,STDGMTVariance,destination,STALocal,STAGMTVariance,OAGEquipmentType,ACConfiguration,serviceType,originGate,ETDlocal,ETDudt,TAXIutc,OUTudt,OFFudt,destinationGate,ETAlocal,ETAudt,ONudt,INudt,previousTailNumber,ETE,DCNutc,ETOutc,EONutc,EDTCutc,flightType,newDepartureCity,newArrivalCity,SchedOAGEquipType,OAGEquipSubType,csvFSDailyID,tailNumBeforeCancel,CTAUTC,cancelled,replaced,ATCStatus,scheduledFlightType,aircraftRouting,mealService,hub,landingRestriction,headStartFlight,actualDeparture,specialFlight,actualArrival,scheduledTaxiOut,scheduledTaxiIn,STOSetByUser,STISetByUser,CTFlightNumber
,17MAY19,0751,POST,16MAY19,JBU, 602 ,10,16,20190516,20190517,0400,0857,579   ,20190517,,PHX ,2100,DM,-0700,BOS ,0457,-0400,32M ,,,F3  ,2303,0603,,,,,0700,1100,,,,,,,,,0,,,32M ,,5280428,,,,0,0,0,> 215 ,,JFK,2,0,2019-05-17 06:03:00.000,0,2019-05-17 11:00:00.000,15,7,0,0,0602
,17MAY19,0751,POST,16MAY19,JBU, 603 ,10,16,20190516,20190516,2128,0311,579   ,20190517,,BOS ,1728,DM,-0400,PHX ,2011,-0700,32M ,,,,1728,2128,,2340,0000,F3  ,1957,0257,0250,0255,,,,,,,0,,,32M ,,5280437,,,,0,0,0,> 602 ,,JFK,2,0,2019-05-16 23:40:00.000,0,2019-05-17 02:55:00.000,18,7,0,0,0603
,17MAY19,0800,POST,16MAY19,JBU, 609 ,10,16,20190516,20190517,0359,0747,999   ,20190517,SC05,JFK ,2359,DM,-0400,SDQ ,0347,-0400,321 ,,,,2359,0359,,0351,0408,,0325,0725,0718,0725,959 ,,,,,,0,,,321 ,,5280448,,,,0,0,0,>1010 ,,JFK,2,0,2019-05-17 03:51:00.000,0,2019-05-17 07:25:00.000,29,7,0,0,0609
,17MAY19,0756,POST,16MAY19,JBU, 610 ,10,16,20190516,20190517,0120,0513,913   ,20190517,,SDQ ,2120,DM,-0400,JFK ,0113,-0400,321 ,,,,2217,0217,,0203,0215,,0153,0553,0546,0554,,,,,,,0,,,321 ,,5280459,,,,0,0,0,>1403 ,,JFK,2,0,2019-05-17 02:03:00.000,0,2019-05-17 05:54:00.000,15,7,0,0,0610
,17MAY19,0756,POST,16MAY19,JBU, 611 ,10,16,20190516,20190516,2330,0534,903   ,20190517,,JFK ,1930,DM,-0400,LAS ,2234,-0700,321 ,,,,1930,2330,,2336,0007,,2210,0510,0503,0511,,,,,,,0,,,321 ,,5280470,,,,0,0,0,>1248 ,,JFK,2,0,2019-05-16 23:36:00.000,0,2019-05-17 05:11:00.000,29,7,0,0,0611
,17MAY19,0757,POST,16MAY19,JBU, 615 ,10,16,20190516,20190516,1502,2131,942   ,20190517,,JFK ,1102,DM,-0400,SFO ,1431,-0700,32S ,,,,1102,1502,,,,,1223,1923,1916,,,,,,,,0,,,32S ,,5280481,,,,0,0,0,> 616 ,,JFK,2,0,2019-05-16 15:02:00.000,0,2019-05-16 19:23:00.000,29,7,0,0,0615
,17MAY19,0757,POST,16MAY19,JBU, 616 ,10,16,20190516,20190516,2241,0431,942   ,20190517,,SFO ,1541,DM,-0700,JFK ,0031,-0400,32S ,,,,1541,2241,,,,,2313,0313,0306,0312,,,,,,,0,,,32S ,,5280492,,,,0,0,0,>  63 ,,JFK,2,0,2019-05-16 22:41:00.000,0,2019-05-17 03:12:00.000,15,7,0,0,0616
,17MAY19,0759,POST,16MAY19,JBU, 619 ,10,16,20190516,20190516,1417,2039,985   ,20190517,,BOS ,1017,DM,-0400,SAN ,1339,-0700,32S ,,,,1017,1417,,,,,1244,1944,1937,1947,,,,,,,0,,,32S ,,5280503,,,,0,0,0,> 620 ,,JFK,2,1,2019-05-16 14:17:00.000,0,2019-05-16 19:47:00.000,18,7,0,0,0619
,17MAY19,0512,POST,16MAY19,JBU, 620 ,10,16,20190516,20190516,2149,0324,985   ,20190517,,SAN ,1449,DM,-0700,BOS ,2324,-0400,32S ,,,,1449,2149,,2323,0002,,0109,0509,0502,0509,,,,,,,0,,,32S ,,5280514,,,,0,0,0,>1077 ,,JFK,2,0,2019-05-16 23:23:00.000,0,2019-05-17 05:09:00.000,19,7,0,0,0620
,17MAY19,0751,POST,16MAY19,JBU, 621 ,10,16,20190516,20190516,0955,1251,593   ,20190517,AU01,JFK ,0555,DM,-0400,NAS ,0851,-0400,320 ,,,,0555,0955,,1224,1241,,1108,1508,,,506 ,,,,,,0,,,320 ,,5280523,,,,0,0,0,> 622 ,,JFK,2,1,2019-05-16 12:24:00.000,3,2019-05-16 15:08:00.000,29,7,0,0,0621
,17MAY19,0751,POST,16MAY19,JBU, 622 ,10,16,20190516,20190516,1351,1649,593   ,20190517,AU01,NAS ,0951,DM,-0400,JFK ,1249,-0400,320 ,,,,1205,1605,,,,,1212,1612,1605,1608,506 ,,,,,,0,,,320 ,,5280531,,,,0,0,0,>1041 ,,JFK,2,0,2019-05-16 16:05:00.000,0,2019-05-16 16:08:00.000,15,7,0,0,0622
,17MAY19,0759,POST,16MAY19,JBU, 623 ,10,16,20190516,20190516,1830,0045,981   ,20190517,,JFK ,1430,DM,-0400,LAX ,1745,-0700,32S ,,,,1430,1830,,2020,2033,,1831,0131,0124,0129,,,,,,,0,,,32S ,,5280541,,,,0,0,0,> 288 ,,JFK,2,1,2019-05-16 20:20:00.000,0,2019-05-17 01:29:00.000,29,7,0,0,0623
,17MAY19,0759,POST,16MAY19,JBU, 624 ,10,16,20190516,20190516,2133,0310,983   ,20190517,SC40,LAX ,1433,DM,-0700,JFK ,2310,-0400,32S ,,,,1433,2133,,2133,2147,,2241,0241,0234,0254,969 ,,,,,,0,,,32S ,,5280552,,,,0,0,0,>1611 ,,JFK,2,0,2019-05-16 21:33:00.000,0,2019-05-17 02:54:00.000,15,7,0,0,0624
,17MAY19,0743,POST,16MAY19,JBU, 626 ,10,16,20190516,20190516,1505,1628,267   ,20190517,SC09,BWI ,1105,DM,-0400,BOS ,1228,-0400,E90 ,,,D2  ,1105,1505,,,1457,,1155,1555,1548,1554,284 ,,,,,,0,,,E90 ,,5280563,,,,0,0,0,>1281 ,,JFK,2,0,2019-05-16 15:05:00.000,0,2019-05-16 15:54:00.000,15,7,0,0,0626
,17MAY19,0757,POST,16MAY19,JBU, 627 ,10,16,20190516,20190516,1150,1529,954   ,20190517,SC05,JFK ,0750,DM,-0400,POP ,1129,-0400,321 ,,,,0750,1150,,1143,1159,,1108,1508,1501,1503,997 ,,,,,,0,,,321 ,,5280574,,,,0,0,0,>1528 ,,JFK,2,1,2019-05-16 11:43:00.000,0,2019-05-16 15:03:00.000,29,7,0,0,0627
,17MAY19,0757,POST,16MAY19,JBU, 629 ,10,16,20190516,20190517,0320,0601,955   ,20190517,,MCO ,2320,DM,-0400,BQN ,0201,-0400,321 ,,,,2320,0320,,,,,0028,0428,0421,0425,,,,,,,0,,,321 ,,5280585,,,,0,0,0,> 630 ,,JFK,2,0,2019-05-17 03:20:00.000,0,2019-05-17 04:25:00.000,16,7,0,0,0629
